"dive number","date","time","sample time (min)","sample depth (m)","sample temperature (C)","sample pressure (bar)","sample heartrate"
"28","2025-07-05","15:32:55","0:10","1.1","24.0",,
"28","2025-07-05","15:32:55","0:20","1.7",,,
"28","2025-07-05","15:32:55","0:30","2.3",,,
"28","2025-07-05","15:32:55","0:40","3.6",,,
"28","2025-07-05","15:32:55","0:50","3.7",,,
"28","2025-07-05","15:32:55","1:00","4","23.0",,
"28","2025-07-05","15:32:55","1:10","4.7",,,
"28","2025-07-05","15:32:55","1:20","4.7",,,
"28","2025-07-05","15:32:55","1:30","5.4","22.0",,
"28","2025-07-05","15:32:55","1:40","5.5",,,
"28","2025-07-05","15:32:55","1:50","5.3",,,
"28","2025-07-05","15:32:55","2:00","5.5",,,
"28","2025-07-05","15:32:55","2:10","5.2",,,
"28","2025-07-05","15:32:55","2:20","4.7",,,
"28","2025-07-05","15:32:55","2:30","4.8",,,
"28","2025-07-05","15:32:55","2:40","4.7",,,
"28","2025-07-05","15:32:55","2:50","4.9",,,
"28","2025-07-05","15:32:55","3:00","4.8",,,
"28","2025-07-05","15:32:55","3:10","4.7",,,
"28","2025-07-05","15:32:55","3:20","4.4",,,
"28","2025-07-05","15:32:55","3:30","4.7",,,
"28","2025-07-05","15:32:55","3:40","4.3",,,
"28","2025-07-05","15:32:55","3:50","4.5",,,
"28","2025-07-05","15:32:55","4:00","4.2",,,
"28","2025-07-05","15:32:55","4:10","4.1",,,
"28","2025-07-05","15:32:55","4:20","4.3",,,
"28","2025-07-05","15:32:55","4:30","4.3",,,
"28","2025-07-05","15:32:55","4:40","4","23.0",,
"28","2025-07-05","15:32:55","4:50","3.9",,,
"28","2025-07-05","15:32:55","5:00","3.9",,,
"28","2025-07-05","15:32:55","5:10","4.5","22.0",,
"28","2025-07-05","15:32:55","5:20","4.6",,,
"28","2025-07-05","15:32:55","5:30","5.2",,,
"28","2025-07-05","15:32:55","5:40","5.3",,,
"28","2025-07-05","15:32:55","5:50","4.7",,,
"28","2025-07-05","15:32:55","6:00","4.4",,,
"28","2025-07-05","15:32:55","6:10","4.8",,,
"28","2025-07-05","15:32:55","6:20","5.5",,,
"28","2025-07-05","15:32:55","6:30","6.2",,,
"28","2025-07-05","15:32:55","6:40","6.3","21.0",,
"28","2025-07-05","15:32:55","6:50","6.3",,,
"28","2025-07-05","15:32:55","7:00","6",,,
"28","2025-07-05","15:32:55","7:10","5.8",,,
"28","2025-07-05","15:32:55","7:20","7.1",,,
"28","2025-07-05","15:32:55","7:30","7.1","20.0",,
"28","2025-07-05","15:32:55","7:40","7.4",,,
"28","2025-07-05","15:32:55","7:50","7.2","19.0",,
"28","2025-07-05","15:32:55","8:00","7.9",,,
"28","2025-07-05","15:32:55","8:10","7.7",,,
"28","2025-07-05","15:32:55","8:20","8.2","18.0",,
"28","2025-07-05","15:32:55","8:30","8.5",,,
"28","2025-07-05","15:32:55","8:40","8.5",,,
"28","2025-07-05","15:32:55","8:50","8.8",,,
"28","2025-07-05","15:32:55","9:00","8.9",,,
"28","2025-07-05","15:32:55","9:10","9",,,
"28","2025-07-05","15:32:55","9:20","9","17.0",,
"28","2025-07-05","15:32:55","9:30","9.4",,,
"28","2025-07-05","15:32:55","9:40","9.1",,,
"28","2025-07-05","15:32:55","9:50","9.2",,,
"28","2025-07-05","15:32:55","10:00","9","16.0",,
"28","2025-07-05","15:32:55","10:10","9.2",,,
"28","2025-07-05","15:32:55","10:20","9.1",,,
"28","2025-07-05","15:32:55","10:30","9.2",,,
"28","2025-07-05","15:32:55","10:40","9.3",,,
"28","2025-07-05","15:32:55","10:50","9",,,
"28","2025-07-05","15:32:55","11:00","9.3",,,
"28","2025-07-05","15:32:55","11:10","8.9",,,
"28","2025-07-05","15:32:55","11:20","8.6",,,
"28","2025-07-05","15:32:55","11:30","8.6",,,
"28","2025-07-05","15:32:55","11:40","8.4",,,
"28","2025-07-05","15:32:55","11:50","8.4",,,
"28","2025-07-05","15:32:55","12:00","8.8",,,
"28","2025-07-05","15:32:55","12:10","8.5",,,
